ID,Free Time Activities,Successful_Project,Recognition_Awards,Easy_Tasks,Feedback_Talent,Learn_Improve_Skill,Problem_Solving,Energizing_Tasks,Talents
22,"Programming, Writing, Hiking",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",Programming
11,"Writing, Dancing, Photography",Contributed code to an open-source project used by thousands,Received recognition for realistic sculpting style,Finds breaking down complex problems into manageable tasks easy,Solved a cooking disaster by salvaging the meal creatively,,Experimenting with machine learning algorithms,Exploring new painting techniques and styles,painting
10,"Graphic Designing, Cooking, Playing Guitar",Published a collection of short stories,Received accolades for clean and modern design styleDesign and Music classes,Can easily create vector graphics from scratch,Solved a performance hiccup by improvising on stage,Excelled in Art and History classes,Finds experimenting with new baking recipes exciting,sculpting,writing
14,"Gaming, Reading",Published a collection of short stories,Best Artist of the Year,Finds breaking down complex problems into manageable tasks easy,Solved a cooking disaster by salvaging the meal creatively,Excelled in Ceramics and Geography classes,Finds sculpting outdoors surrounded by nature inspiring,"Programming, Writing",baking
18,"Graphic Designing, Cooking, Playing Guitar",Choreographed a dance routine for a school talent show,Received recognition from the project maintainers,Finds knitting stitch patterns intuitive,Solved a performance hiccup by improvising on stage,Excelled in Textile Arts classes,Finds writing in a cozy cafe with ambient noise inspiring,sculpting,baking
12,"Graphic Designing, Cooking, Playing Guitar",Published a collection of short stories,Received applause for creativity and coordination,Finds knitting stitch patterns intuitive,Used creative problem-solving to overcome writer's block,Excelled in Computer Science and English classes,Finds writing in a cozy cafe with ambient noise inspiring,Exploring new painting techniques and styles,painting
8,"Programming, Writing, Hiking",Baked a multi-tiered wedding cake from scratch,Received accolades for photography portfolio,Finds breaking down complex problems into manageable tasks easy,Used creative problem-solving to overcome writer's block,Excelled in Design and Music classes,Finds cooking to be a creative outlet,,knitting
18,"Programming, Writing, Hiking",Choreographed a dance routine for a school talent show,Received applause for creativity and coordination,Has a good sense of timing when cooking multiple dishes simultaneously,Used creative problem-solving to overcome writer's block,,Finds writing in a cozy cafe with ambient noise inspiring,photography,pottery
8,"Knitting, Reading, Hiking",Published a collection of short stories,Received accolades for photography portfolio,Finds decorating cakes with intricate designs effortless,Used design thinking to improve website navigation,Enjoyed Home Economics and Art classes the most,Finds knitting while listening to audiobooks relaxing,Dancing,baking
8,"Writing, Dancing, Photography",Contributed code to an open-source project used by thousands,Won a local baking competition,Has a good sense of timing when cooking multiple dishes simultaneously,Solved a performance hiccup by improvising on stage,Excelled in Art and History classes,Finds writing in a cozy cafe with ambient noise inspiring,writing,Gaming
14,"Cooking, Gaming, Writing",Won first place in a regional eSports tournament,Received recognition for realistic sculpting style,Can easily create vector graphics from scratch,Solved a difficult level puzzle by devising a unique strategy,Excelled in English and Dance classes,Finds writing in a cozy cafe with ambient noise inspiring,Exploring new painting techniques and styles,Dancing
12,"Painting,cooking , playing musical instrument",Designed an app interface with a user-friendly design,"Received ""Knitter of the Year"" Award",Finds crafting compelling narratives effortless,Solved a difficult level puzzle by devising a unique strategy,Excelled in Textile Arts classes,Finds experimenting with new baking recipes exciting,writing,writing
10,"Knitting, Reading, Hiking",Choreographed a dance routine for a school talent show,Received recognition for realistic sculpting style,Finds knitting stitch patterns intuitive,Used creative problem-solving to capture a difficult shot,Excelled in Art and History classes,Finds photography during golden hour exhilarating,knitting,photography
1,"Baking, Painting, Yoga,",Painted a landscape with vibrant colors,Received MVP (Most Valuable Player) award,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to capture a difficult shot,,Excelled in Art classes,Gaming,Gaming
8,"Painting,cooking , playing musical instrument",Baked a multi-tiered wedding cake from scratch,Received recognition for realistic sculpting style,Painting comes naturally to me,Solved a knitting pattern challenge by creating a customized design,Excelled in Art and History classes,Finds writing in a cozy cafe with ambient noise inspiring,Exploring new painting techniques and styles,knitting
10,"Sculpting, Gardening, Playing Guitar",Sculpted a lifelike bust of a historical figure,Featured in a pottery exhibition at a local gallery,Can easily create vector graphics from scratch,Used creative problem-solving to overcome writer's block,Excelled in Textile Arts classes,Participating in gaming competitions with friends,Dancing,Dancing
4,"Cooking, Gaming, Writing",Choreographed a dance routine for a school talent show,"Received ""Knitter of the Year"" Award",Can easily create vector graphics from scratch,Used design thinking to improve website navigation,Excelled in Ceramics and Geography classes,Finds cooking to be a creative outlet,,baking
